id,name,username,email,phone,website,city,zipcode,company
1,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Gwenborough,92998-3874,Romaguera-Crona
2,Ervin Howell,Antonette,Shanna@melissa.tv,010-692-6593 x09125,anastasia.net,Wisokyburgh,90566-7771,Deckow-Crist
3,Clementine Bauch,Samantha,Nathan@yesenia.net,1-463-123-4447,ramiro.info,McKenziehaven,59590-4157,Romaguera-Jacobson
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,493-170-9623 x156,kale.biz,South Elvis,53919-4257,Robel-Corkery
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Roscoeview,33263,Keebler LLC
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,1-477-935-8478 x6430,ola.org,South Christy,23505-1337,Considine-Lockman
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,210.067.6132,elvis.io,Howemouth,58804-1099,Johns Group
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,586.493.6943 x140,jacynthe.com,Aliyaview,45169,Abernathy Group
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,conrad.com,Bartholomebury,76495-3109,Yost and Sons
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,ambrose.net,Lebsackbury,31428-2261,Hoeger LLC
